Price,Close,High,Low,Open,Volume
Ticker,SI=F,SI=F,SI=F,SI=F,SI=F
Date,,,,,
1/4/2010,17.44000053,17.44000053,16.87000084,17.44000053,28
1/5/2010,17.78100014,17.81999969,17.57500076,17.78100014,38
1/6/2010,18.16300011,18.19000053,17.84000015,18.16300011,19
1/7/2010,18.33300018,18.33300018,18.09000015,18.33300018,7
1/8/2010,18.45800018,18.45800018,18.12000084,18.45800018,3
1/11/2010,18.68300056,18.68300056,18.68300056,18.68300056,22
1/12/2010,18.24300003,18.70000076,18.24300003,18.70000076,35
1/13/2010,18.53800011,18.53800011,18.53800011,18.53800011,15
1/14/2010,18.64299965,18.64299965,18.64299965,18.64299965,29
1/15/2010,18.4109993,18.39500046,18.38999939,18.39500046,54
1/19/2010,18.7840004,18.7840004,18.47999954,18.7840004,136
1/20/2010,17.86599922,17.86599922,17.86599922,17.86599922,6
1/21/2010,17.49600029,17.49600029,17.49600029,17.49600029,1
1/22/2010,16.91799927,17.13999939,16.91799927,16.91799927,5
1/25/2010,17.13100052,17.13100052,17.13100052,17.13100052,2
1/26/2010,16.84600067,16.84600067,16.84600067,16.84600067,1
1/27/2010,16.4279995,16.4279995,16.4279995,16.4279995,55
1/28/2010,16.20199966,16.20199966,16.20199966,16.20199966,135
1/29/2010,16.18300056,16.34000015,16.10000038,16.18300056,23
2/1/2010,16.65299988,16.65299988,16.65299988,16.65299988,128
2/2/2010,16.73600006,16.73600006,16.73600006,16.73600006,18
2/3/2010,16.30999947,16.62000084,16.36000061,16.62000084,3
2/4/2010,15.34300041,16.03000069,15.26000023,16.03000069,4
2/5/2010,14.82299995,14.82299995,14.82299995,14.82299995,54
2/8/2010,15.07800007,15.15999985,15,15.07800007,224
2/9/2010,15.43099976,15.43099976,15.43099976,15.43099976,3
2/10/2010,15.30200005,15.30200005,15.30200005,15.30200005,300
2/11/2010,15.59200001,15.59200001,15.59200001,15.59200001,91
2/12/2010,15.44900036,15.44900036,15.44900036,15.44900036,91
2/16/2010,16.14999962,16.14999962,16.14999962,16.14999962,48
2/17/2010,16.09799957,16.09799957,16.09799957,16.09799957,14
2/18/2010,16.05999947,16.05999947,16.05999947,16.05999947,14
2/19/2010,16.41300011,16.41300011,16.41300011,16.41300011,5
2/22/2010,16.22200012,16.22200012,16.22200012,16.22200012,5
2/23/2010,15.88799953,15.88799953,15.88799953,15.88799953,5
2/24/2010,15.93999958,15.93999958,15.93999958,15.93999958,45350
2/25/2010,16.11000061,16.15500069,15.60999966,15.93000031,36532
2/26/2010,16.5,16.52000046,16.02499962,16.08499908,3883
3/1/2010,16.4489994,16.73999977,16.41500092,16.5,1010
3/2/2010,17.04400063,17.07500076,16.31999969,16.47500038,749
3/3/2010,17.30900002,17.35000038,16.89500046,16.94499969,852
